City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,76.59,few clouds,-23.1203,-134.9692,People ThankYou
10,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
13,Moerai,PF,74.79,overcast clouds,-22.4333,-151.3333,Le Manotel
14,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
15,Castro,BR,73.92,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
23,Kang,BW,74.82,few clouds,-23.6752,22.7876,Kang Ultra Stop
29,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
32,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Lagoa,PT,63.45,broken clouds,39.05,-27.9833,Casa Das Faias
36,Bambanglipuro,ID,77.76,overcast clouds,-7.95,110.2833,Puri Brata
37,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Mataura,NZ,60.75,overcast clouds,-46.1927,168.8643,Ellie's Villa
42,San Juan De Los Morros,VE,76.78,overcast clouds,9.9115,-67.3538,Hotel La Montaña
46,Chuy,UY,76.26,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Airai,TL,61.72,overcast clouds,-8.9266,125.4092,Juvinal Martin
51,Ponta Do Sol,PT,64.71,broken clouds,32.6667,-17.1,Hotel do Campo
53,Hobart,AU,63.1,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
54,Ambilobe,MG,76.8,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
61,East London,ZA,62.37,overcast clouds,-33.0153,27.9116,Tu Casa
62,Mar Del Plata,AR,74.73,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Rawson,AR,66.81,few clouds,-43.3002,-65.1023,Hosteria Sampedro
70,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
74,Ancud,CL,62.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
76,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
80,Vangaindrano,MG,74.34,light rain,-23.35,47.6,Hotel Fanilo
81,Lompoc,US,75.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
83,Gushikawa,JP,61.83,clear sky,26.3544,127.8686,Kirari Guest House
95,Lebanon,US,61.32,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
100,Bengkulu,ID,74.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
101,Rancho Palos Verdes,US,77.05,clear sky,33.7445,-118.387,Terranea Resort
103,Garowe,SO,76.32,scattered clouds,8.4054,48.4845,Curubo Hotel
106,Balarampur,IN,64.94,clear sky,23.1167,86.2167,Ashok general store
108,Rosarito,MX,76.64,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
109,Lingao,CN,65.88,few clouds,19.9103,109.6859,Lingao Ditai Inn
116,Iranshahr,IR,62.94,clear sky,27.2025,60.6848,نیک سرشت
119,Marsabit,KE,73.02,clear sky,2.3284,37.9899,Chicho Hotel
124,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
126,Cocachacra,PE,69.39,overcast clouds,-17.0883,-71.7575,Hospedaje - El Refugio
127,Laguna,US,68.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
130,Hargeysa,SO,64.67,broken clouds,9.56,44.065,City Center Hotel
131,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
133,Meulaboh,ID,74.84,overcast clouds,4.1363,96.1285,Kost Pria
136,Nishihara,JP,61.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
141,Sesheke,ZM,74.91,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
148,Saint-Pierre,RE,75.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
152,Labuhan,ID,79.11,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
162,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Luau,AO,63.55,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
171,Saldanha,ZA,63.09,clear sky,-33.0117,17.9442,Blue Bay Lodge
174,Hirara,JP,70.77,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
183,Saint-Philippe,RE,75.47,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,Bredasdorp,ZA,60.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
185,Cidreira,BR,68.72,clear sky,-30.1811,-50.2056,Hotel Castelo
186,Benjamin Constant,BR,78.93,light rain,-4.3831,-70.0311,CASA AVALIADA
188,Port Alfred,ZA,61.84,overcast clouds,-33.5906,26.891,The Halyards Hotel
190,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
191,Namibe,AO,69.94,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
192,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
196,Bama,NG,77.88,clear sky,11.5221,13.6856,UN Humanitarian Hub
197,Ulverstone,AU,60.3,clear sky,-41.15,146.1667,Westella Colonial Bed & Breakfast
198,Lubango,AO,62.06,clear sky,-14.9172,13.4925,Hotel Serra da Chela
207,Port Elizabeth,ZA,62.89,light rain,-33.918,25.5701,39 On Nile Guest House
209,Otane,NZ,65.39,few clouds,-39.8833,176.6333,Ludlow Farmstay
213,Iquique,CL,66.24,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
217,New Norfolk,AU,62.74,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
218,Saquarema,BR,75.34,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
219,Ormara,PK,77.0,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
221,Los Llanos De Aridane,ES,67.75,volcanic ash,28.6585,-17.9182,Valle Aridane
224,Mosquera,CO,62.69,scattered clouds,4.7059,-74.2302,Hotel SJ
227,Iberia,US,74.05,broken clouds,29.9502,-91.7507,back to back rv park
230,Keti Bandar,PK,75.2,few clouds,24.1447,67.4497,Haji laloo memon house
231,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
235,Prieska,ZA,69.21,broken clouds,-29.6641,22.7474,Avenue GuestHouse
237,Alfenas,BR,74.86,overcast clouds,-21.4292,-45.9472,Hotel Plaza
241,Phuket,TH,79.02,scattered clouds,8.0,98.25,The Surin
245,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
246,Antalaha,MG,72.03,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
252,Eseka,CM,73.4,light rain,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
254,Fairhope,US,69.15,scattered clouds,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
255,Kuah,MY,78.78,few clouds,6.3265,99.8432,Azio Hotel
259,Kaduqli,SD,77.5,clear sky,11.0167,29.7167,فندق الله جابو
264,Hoa Binh,VN,60.69,few clouds,20.8133,105.3383,Hoa Dao Hotel
265,Victoria,HK,67.32,clear sky,22.2855,114.1577,Mini Hotel Central
267,Georgetown,MY,76.95,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
271,Celestun,MX,79.02,clear sky,20.8667,-90.4,Posada Lilia
275,Maua,BR,70.36,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
276,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
279,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
280,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
281,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
282,Khirkiya,IN,69.64,clear sky,22.1674,76.8605,Sanjay Industries
285,Koumac,NC,76.3,overcast clouds,-20.5667,164.2833,Le Monitel
286,Morro Bay,US,75.99,clear sky,35.3658,-120.8499,Inn at Morro Bay
288,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
291,Pleasanton,US,67.91,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
296,Cockburn Town,TC,79.65,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
299,Lakes Entrance,AU,66.58,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
300,Machalpur,IN,66.61,clear sky,24.1333,76.3,New Trimurti Bhojnalaya
301,Dingle,PH,76.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
305,Lichinga,MZ,69.89,broken clouds,-13.3128,35.2406,Residencial Bendiak
312,Kaitangata,NZ,60.66,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
315,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
318,Ahipara,NZ,62.83,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
319,Jalu,LY,68.58,clear sky,29.0331,21.5482,صاحبة الفخامة
320,Kribi,CM,79.57,overcast clouds,2.95,9.9167,La Grace Hôtel
323,Constitucion,CL,60.57,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
324,Antofagasta,CL,63.68,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
328,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
331,Giyani,ZA,66.54,clear sky,-23.3025,30.7187,Kulani Country Lodge
333,Sambava,MG,74.3,scattered clouds,-14.2667,50.1667,Melrose
336,Umm Lajj,SA,76.64,few clouds,25.0213,37.2685,Moon light Furnished Units
338,San Quintin,MX,66.56,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
341,Sur,OM,78.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
344,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
345,Nelson,NZ,71.8,overcast clouds,-41.2833,173.2833,Rutherford Hotel Nelson
354,Mazamari,PE,71.98,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
357,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
358,Lindi,TZ,74.59,broken clouds,-10.0,39.7167,Lindi paradise house
359,Pacific Grove,US,69.91,clear sky,36.6177,-121.9166,Lovers Point Inn
362,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
366,Lebu,CL,60.15,few clouds,-37.6167,-73.65,Hostal Las Lilas
371,Necochea,AR,77.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
372,Keningau,MY,72.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
373,Marsh Harbour,BS,69.75,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
379,Lucapa,AO,65.59,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
384,Hualmay,PE,69.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
398,Gudivada,IN,73.96,overcast clouds,16.45,80.9833,Sri Venkata Lakshmi Tiffin Center
402,Kafr Sawm,JO,60.78,overcast clouds,32.6833,35.8,نضال ابو غزال
403,Vao,NC,75.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
404,Panubigan,PH,78.75,overcast clouds,7.4281,123.3466,Parish Beach
409,Arona,ES,63.82,scattered clouds,28.0996,-16.681,Paradise Court
410,Bireun,ID,77.27,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
411,Half Moon Bay,US,68.32,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
412,San Carlos De Bariloche,AR,69.44,few clouds,-41.1456,-71.3082,Hotel Patagonia
414,Talcahuano,CL,62.28,broken clouds,-36.7167,-73.1167,departamento comodo
415,Solok,ID,70.75,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
419,Tocopilla,CL,67.42,overcast clouds,-22.092,-70.1979,Hotel Galvarino
422,Port Augusta,AU,66.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
424,San Ignacio,BZ,74.53,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
430,Dong Hoi,VN,64.92,overcast clouds,17.4833,106.6,Nam Long Hotel
444,Karur,IN,74.21,overcast clouds,10.95,78.0833,Hotel Valluvar
448,Tatawin,TN,61.05,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
452,Princeton,US,73.99,overcast clouds,25.5384,-80.4089,American Best Inn
461,Swan Hill,AU,66.52,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
463,Ocampo,MX,74.28,clear sky,21.65,-101.5,Casa de ratas
464,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
466,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
468,Barstow,US,65.48,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
474,Cozumel,MX,78.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
477,Curuca,BR,77.32,broken clouds,-0.7289,-47.8481,Hotel Curuça
478,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
479,Waipawa,NZ,63.3,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
480,Kudligi,IN,70.43,broken clouds,14.9,76.3833,Spandana Ladies Hostel
483,Bang Krathum,TH,70.57,overcast clouds,16.5783,100.3003,ร้านเสริมสวยกนกวรรณ &หมวยบิวตี้
485,Valparaiso,CL,65.84,few clouds,-33.0393,-71.6273,Hotel Ultramar
492,Januaria,BR,79.92,broken clouds,-15.4833,-44.3667,Hotel Paraguassu
494,Guerrero Negro,MX,69.21,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
495,Gaoual,GN,79.41,scattered clouds,11.75,-13.2,Hotel koliba
496,Morogoro,TZ,73.51,scattered clouds,-6.8167,37.6667,Nashera Hotel
498,Huntsville,US,61.05,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
499,Tuy Hoa,VN,74.75,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
507,Port-Gentil,GA,79.18,moderate rain,-0.7193,8.7815,Fengshui Residence
508,Kwinana,AU,64.24,clear sky,-32.25,115.7667,Rockingham Apartments
510,Miguel Calmon,BR,73.4,overcast clouds,-11.4289,-40.595,Pousada Guiomar
512,Burnie,AU,60.03,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
516,La Primavera,CO,75.06,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
518,Farafangana,MG,76.39,overcast clouds,-22.8167,47.8333,Miarina
520,Altamira,BR,75.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
525,Bilma,NE,77.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
527,Itoman,JP,62.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
528,Kinshasa,CD,73.31,moderate rain,-4.3246,15.3215,Flat Hotel Alhdeef
529,Jieshi,CN,62.94,clear sky,22.8134,115.8257,Yuehai Hotel
533,Sechura,PE,75.11,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
537,Broken Hill,AU,64.71,moderate rain,-31.95,141.4333,Royal Exchange Hotel
539,Pemangkat,ID,78.48,overcast clouds,1.1667,108.9667,Ramah Kost KITA
540,Kinkala,CG,71.24,moderate rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
546,Okitipupa,NG,76.8,clear sky,6.5047,4.7839,Coastal Hotel & Suites
549,Bujaru,BR,78.82,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
550,Phan Thiet,VN,75.54,overcast clouds,10.9333,108.1,Hotel Saigon-PT
552,Aswan,EG,69.1,broken clouds,24.0934,32.907,Nuba Nile
554,Ballina,AU,73.44,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
556,Bela,IN,62.73,clear sky,25.9333,81.9833,Raj Bhawan
557,Byron Bay,AU,74.05,moderate rain,-28.65,153.6167,Backpackers Inn on the Beach
558,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
561,Barra De Sao Francisco,BR,75.33,light rain,-18.755,-40.8908,Td Hotel
563,Sabha,LY,72.14,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
569,Hillsborough,US,67.73,clear sky,37.5741,-122.3794,Hyatt Regency San Francisco Airport
572,Bowen,AU,78.84,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
577,Pallisa,UG,65.52,light rain,1.145,33.7094,RNM HOTEL
580,Comodoro Rivadavia,AR,60.66,few clouds,-45.8667,-67.5,Austral Hotel
582,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
588,Vallenar,CL,79.81,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
589,Camana,PE,67.75,overcast clouds,-16.6228,-72.7111,Hostal Morales
591,Ilhabela,BR,73.58,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
594,Silifke,TR,61.34,light rain,36.3778,33.9344,Ayatekla Hotel
603,Praia Da Vitoria,PT,64.76,broken clouds,38.7333,-27.0667,Hotel Branco I
605,Sydney,AU,70.9,moderate rain,-33.8679,151.2073,The Grace Sydney
607,San Ramon,US,66.83,clear sky,37.7799,-121.978,San Ramon Marriott
615,Gat,IL,63.39,overcast clouds,31.61,34.7642,OlusHome
616,Point Pedro,LK,78.84,moderate rain,9.8167,80.2333,Gtr homes
619,Mahanoro,MG,74.73,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
624,Mbuji-Mayi,CD,71.2,broken clouds,-6.15,23.6,GKT Hotel
626,Huarmey,PE,69.78,overcast clouds,-10.0681,-78.1522,Hotel Miramar
630,Itigi,TZ,70.5,broken clouds,-5.7,34.4833,Hostel San Sebastiano
633,Isangel,VU,73.81,light rain,-19.55,169.2667,Tanna Lodge
635,Bull Savanna,JM,78.71,broken clouds,17.8868,-77.5902,Big Red's
638,Richards Bay,ZA,67.05,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
639,Port Lincoln,AU,60.31,few clouds,-34.7333,135.8667,Port Lincoln Hotel
641,Dunedin,NZ,60.6,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
645,Singuilucan,MX,62.42,broken clouds,19.9667,-98.5167,Bodega Cebadera la hoja bandera
648,Coihaique,CL,61.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
654,Chimoio,MZ,68.0,light rain,-19.1164,33.4833,Predio Livraria Ahmed
656,Kisangani,CD,73.92,scattered clouds,0.5167,25.2,Grand Ramela Hotel
661,Palaikastron,GR,61.75,overcast clouds,35.2,26.25,Marina Village
663,Port Macquarie,AU,71.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
666,Panji,ID,76.01,overcast clouds,-7.7253,114.0995,Rumah andre
668,Asosa,ET,69.73,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
669,Lae,PG,78.64,overcast clouds,-6.7221,146.9847,Phils Hotel
670,Gold Coast,AU,75.24,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
671,Pastos Bons,BR,79.09,overcast clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
676,Darnah,LY,64.89,scattered clouds,32.767,22.6367,فندق الفردوس
683,Acari,PE,73.06,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
691,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
695,Sehithwa,BW,78.75,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
697,Ayacucho,PE,66.06,scattered clouds,-13.1583,-74.2239,Hotel Incasol
702,Houston,US,77.18,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
708,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
