City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karratha,AU,-20.7377,116.8463,80.51,47,74,9.66,broken clouds
1,Albany,US,42.6001,-73.9662,40.32,54,3,3.51,clear sky
2,Chapleau,CA,47.8405,-83.4034,37.49,81,90,4.61,overcast clouds
3,Khani,GE,41.9563,42.9566,38.77,95,97,1.5,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.59,78,18,15.12,few clouds
5,Tiksi,RU,71.6872,128.8694,-7.42,92,100,5.97,overcast clouds
6,Hithadhoo,MV,-0.6,73.0833,81.81,76,100,18.5,overcast clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,6.91,few clouds
8,Thompson,CA,55.7435,-97.8558,4.62,84,83,10.4,broken clouds
9,Vaini,TO,-21.2,-175.2,84.36,84,75,4.61,broken clouds
10,Quatre Cocos,MU,-20.2078,57.7625,76.08,76,18,9.1,few clouds
11,Hilo,US,19.7297,-155.09,80.62,69,20,5.75,light rain
12,Khatanga,RU,71.9667,102.5,-11.09,96,38,4.7,scattered clouds
13,Moerai,PF,-22.4333,-151.3333,74.79,73,100,8.01,overcast clouds
14,Carnarvon,AU,-24.8667,113.6333,62.67,77,0,9.22,clear sky
15,Castro,BR,-24.7911,-50.0119,73.92,65,60,5.95,broken clouds
16,Busselton,AU,-33.65,115.3333,58.08,82,42,11.63,scattered clouds
17,Homer,US,59.6425,-151.5483,21.07,73,75,3.44,broken clouds
18,Layou,VC,13.2,-61.2667,80.08,83,20,5.75,few clouds
19,Ushuaia,AR,-54.8,-68.3,47.86,66,20,25.32,few clouds
20,Aanekoski,FI,62.6946,25.818,25.68,100,99,0.74,overcast clouds
21,Beringovskiy,RU,63.05,179.3167,-2.92,81,100,6.15,overcast clouds
22,Tasiilaq,GL,65.6145,-37.6368,26.76,87,100,8.48,overcast clouds
23,Kang,BW,-23.6752,22.7876,74.82,25,14,7.34,few clouds
24,Esperance,AU,-33.8667,121.9,56.08,83,22,1.88,few clouds
25,Qaanaaq,GL,77.484,-69.3632,-4.2,50,0,8.68,clear sky
26,Sitka,US,57.0531,-135.33,44.49,65,90,20.71,moderate rain
27,Longyearbyen,SJ,78.2186,15.6401,3.04,60,40,9.22,scattered clouds
28,Sergeyevka,KZ,53.88,67.4158,-0.98,99,58,5.53,broken clouds
29,Souillac,MU,-20.5167,57.5167,76.35,83,40,4.61,scattered clouds
30,Barrow,US,71.2906,-156.7887,-2.18,78,90,14.97,haze
31,Pevek,RU,69.7008,170.3133,-19.08,93,100,1.23,overcast clouds
32,Mahebourg,MU,-20.4081,57.7,76.24,83,40,4.61,scattered clouds
33,Lagoa,PT,39.05,-27.9833,63.45,77,72,34.14,broken clouds
34,Aklavik,CA,68.2191,-135.0107,-22.97,75,40,3.44,scattered clouds
35,Ciudad Bolivar,VE,8.1222,-63.5497,88.59,50,92,6.04,overcast clouds
36,Bambanglipuro,ID,-7.95,110.2833,77.76,89,98,3.4,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,60.8,74,0,20.92,clear sky
38,Bluff,NZ,-46.6,168.3333,55.81,66,100,7.43,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,60.75,46,100,3.83,overcast clouds
40,Martinsburg,US,39.4562,-77.9639,49.24,42,1,0.0,clear sky
41,Aksu,CN,41.1231,80.2644,29.32,49,4,2.33,clear sky
42,San Juan De Los Morros,VE,9.9115,-67.3538,76.78,82,88,1.25,overcast clouds
43,Lere,NG,10.387,8.5726,73.53,27,99,4.5,overcast clouds
44,Cabo Rojo,PR,18.0866,-67.1457,84.97,76,45,3.0,scattered clouds
45,Vardo,NO,70.3705,31.1107,30.18,64,75,13.8,light shower snow
46,Chuy,UY,-33.6971,-53.4616,76.26,46,0,6.85,clear sky
47,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,80,90,17.27,overcast clouds
48,Airai,TL,-8.9266,125.4092,61.72,92,100,0.36,overcast clouds
49,Chokurdakh,RU,70.6333,147.9167,-18.33,99,98,6.49,overcast clouds
50,Lazaro Cardenas,MX,17.9583,-102.2,83.39,70,5,6.96,clear sky
51,Ponta Do Sol,PT,32.6667,-17.1,64.71,66,84,10.11,broken clouds
52,Moose Factory,CA,51.2585,-80.6094,33.8,86,90,2.3,overcast clouds
53,Hobart,AU,-42.8794,147.3294,63.1,69,20,3.0,few clouds
54,Ambilobe,MG,-13.2,49.05,76.8,79,88,2.06,overcast clouds
55,Sistranda,NO,63.7256,8.834,40.89,74,100,9.51,light rain
56,Bay City,US,43.5945,-83.8889,51.8,49,75,14.97,broken clouds
57,Porto Novo,BJ,6.4965,2.6036,84.02,81,99,7.76,overcast clouds
58,Upernavik,GL,72.7868,-56.1549,27.99,94,100,30.85,snow
59,Touros,BR,-5.1989,-35.4608,83.3,77,46,16.04,scattered clouds
60,Hami,CN,42.8,93.45,25.97,66,15,3.15,few clouds
61,East London,ZA,-33.0153,27.9116,62.37,70,96,6.64,overcast clouds
62,Mar Del Plata,AR,-38.0023,-57.5575,74.73,48,14,13.09,few clouds
63,Rawson,AR,-43.3002,-65.1023,66.81,53,21,18.66,few clouds
64,Nemuro,JP,43.3236,145.575,39.92,66,80,15.46,broken clouds
65,Shetpe,KZ,44.1667,52.1167,33.21,73,100,21.21,overcast clouds
66,Champerico,GT,14.3,-91.9167,91.94,68,40,5.75,scattered clouds
67,Komsomolskiy,UZ,40.4272,71.7189,42.22,60,1,6.91,haze
68,Tura,IN,25.5198,90.2201,58.33,68,0,3.13,clear sky
69,Cherskiy,RU,68.75,161.3,-12.89,98,100,4.29,light snow
70,Atuona,PF,-9.8,-139.0333,77.27,80,32,11.01,light rain
71,Avarua,CK,-21.2078,-159.775,80.65,74,90,9.22,overcast clouds
72,Klaksvik,FO,62.2266,-6.589,40.12,66,93,42.14,overcast clouds
73,Paicandu,BR,-23.4575,-52.0486,85.98,42,90,5.26,overcast clouds
74,Ancud,CL,-41.8697,-73.8203,62.42,85,91,12.77,overcast clouds
75,Kapaa,US,22.0752,-159.319,81.19,66,1,1.01,clear sky
76,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,33.38,broken clouds
77,Kostomuksha,RU,64.571,30.5767,12.27,97,62,3.06,broken clouds
78,Lokosovo,RU,61.1333,74.8167,-0.8,97,96,7.63,overcast clouds
79,Butaritari,KI,3.0707,172.7902,82.17,70,95,14.27,overcast clouds
80,Vangaindrano,MG,-23.35,47.6,74.34,95,92,7.38,light rain
81,Lompoc,US,34.6391,-120.4579,75.85,49,0,13.0,clear sky
82,Ilulissat,GL,69.2167,-51.1,28.42,80,40,19.57,light snow
83,Gushikawa,JP,26.3544,127.8686,61.83,88,1,5.75,clear sky
84,Kungurtug,RU,50.5994,97.5228,9.36,95,55,2.42,broken clouds
85,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,10.36,scattered clouds
86,Nicoya,CR,10.1483,-85.452,85.55,68,99,4.45,overcast clouds
87,Fortuna,US,40.5982,-124.1573,58.91,59,1,1.99,clear sky
88,Saskylakh,RU,71.9167,114.0833,-13.94,94,87,8.93,overcast clouds
89,Premia De Mar,ES,41.4921,2.3652,53.94,83,92,1.99,overcast clouds
90,Fuerte Olimpo,PY,-21.0415,-57.8738,90.41,56,78,3.96,broken clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,80.56,71,66,11.45,broken clouds
92,Codrington,AU,-38.2667,141.9667,58.48,82,18,10.11,few clouds
93,Provideniya,RU,64.3833,-173.3,3.31,55,0,6.71,clear sky
94,Zhigalovo,RU,54.8097,105.1578,13.95,99,99,3.22,overcast clouds
95,Lebanon,US,36.2081,-86.2911,61.32,33,1,10.36,clear sky
96,Hobyo,SO,5.3505,48.5268,81.37,75,53,10.74,broken clouds
97,Hasaki,JP,35.7333,140.8333,37.8,48,0,5.55,clear sky
98,Severo-Kurilsk,RU,50.6789,156.125,37.35,98,100,17.76,moderate rain
99,Bethel,US,41.3712,-73.414,43.16,46,1,1.01,clear sky
100,Bengkulu,ID,-3.8004,102.2655,74.34,77,81,4.72,broken clouds
101,Rancho Palos Verdes,US,33.7445,-118.387,77.05,66,1,3.0,clear sky
102,Lahaina,US,20.8783,-156.6825,85.24,78,1,3.67,clear sky
103,Garowe,SO,8.4054,48.4845,76.32,61,43,9.73,scattered clouds
104,Nuuk,GL,64.1835,-51.7216,30.81,100,90,9.22,light snow
105,Salalah,OM,17.0151,54.0924,80.69,89,0,3.44,clear sky
106,Balarampur,IN,23.1167,86.2167,64.94,56,1,3.09,clear sky
107,Husavik,IS,66.0449,-17.3389,26.51,87,100,14.32,overcast clouds
108,Rosarito,MX,32.3333,-117.0333,76.64,59,0,7.65,clear sky
109,Lingao,CN,19.9103,109.6859,65.88,77,12,6.31,few clouds
110,Kavaratti,IN,10.5669,72.642,81.1,76,100,2.13,overcast clouds
111,Cayenne,GF,4.9333,-52.3333,83.08,84,75,5.01,broken clouds
112,Punta Arenas,CL,-53.15,-70.9167,55.51,35,40,13.8,scattered clouds
113,Jamestown,US,42.097,-79.2353,44.19,54,1,4.0,clear sky
114,Zhezkazgan,KZ,47.8043,67.7144,36.68,81,100,10.0,overcast clouds
115,Poya,NC,-21.35,165.15,78.19,71,99,1.74,overcast clouds
116,Iranshahr,IR,27.2025,60.6848,62.94,36,0,6.91,clear sky
117,Verkhnevilyuysk,RU,63.4453,120.3167,-5.87,91,100,4.14,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,-25.56,68,40,3.44,scattered clouds
119,Marsabit,KE,2.3284,37.9899,73.02,42,0,7.85,clear sky
120,Atasu,KZ,48.6814,71.6433,36.37,76,100,13.58,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,28.13,68,90,28.01,overcast clouds
122,Vostok,RU,46.4856,135.8833,3.47,99,100,3.13,overcast clouds
123,Lorengau,PG,-2.0226,147.2712,82.24,76,27,4.09,scattered clouds
124,Geraldton,AU,-28.7667,114.6,61.21,63,0,6.91,clear sky
125,Kahului,US,20.8947,-156.47,85.26,71,20,16.11,few clouds
126,Cocachacra,PE,-17.0883,-71.7575,69.39,72,91,7.14,overcast clouds
127,Laguna,US,38.421,-121.4238,68.29,40,1,1.99,clear sky
128,Lahij,YE,13.1667,44.5833,76.08,66,60,2.57,broken clouds
129,Krasnokholm,RU,51.5979,54.1567,-3.71,100,40,2.86,scattered clouds
130,Hargeysa,SO,9.56,44.065,64.67,44,71,9.24,broken clouds
131,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
132,Coahuayana,MX,18.7333,-103.6833,92.68,54,99,6.44,overcast clouds
133,Meulaboh,ID,4.1363,96.1285,74.84,84,99,2.98,overcast clouds
134,Linkou,CN,45.3,130.2833,9.25,88,95,4.56,overcast clouds
135,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,60,75,22.37,moderate rain
136,Nishihara,JP,26.1842,127.7558,61.88,67,75,3.44,broken clouds
137,Talnakh,RU,69.4865,88.3972,10.78,95,100,7.65,overcast clouds
138,Mandera,KE,3.9366,41.867,84.47,25,7,1.21,clear sky
139,Fairbanks,US,64.8378,-147.7164,-7.4,74,20,0.0,few clouds
140,Karasjok,NO,69.4719,25.5112,-0.29,100,80,1.63,broken clouds
141,Sesheke,ZM,-17.4759,24.2968,74.91,17,8,5.5,clear sky
142,Ouadda,CF,8.0777,22.4007,71.1,34,1,4.05,clear sky
143,Nikolskoye,RU,59.7035,30.7861,33.69,88,77,3.69,broken clouds
144,Paipa,CO,5.7801,-73.1171,57.56,93,99,2.04,overcast clouds
145,Manzhouli,CN,49.6,117.4333,-1.28,76,15,5.3,few clouds
146,Deputatskiy,RU,69.3,139.9,-31.2,99,25,4.88,scattered clouds
147,Alta,NO,69.9689,23.2717,2.46,85,0,5.75,clear sky
148,Saint-Pierre,RE,-21.3393,55.4781,75.56,71,0,5.75,clear sky
149,Umea,SE,63.8284,20.2597,28.9,100,90,4.61,light snow
150,Thunder Bay,CA,48.4001,-89.3168,35.29,77,94,8.01,overcast clouds
151,Semikarakorsk,RU,47.5194,40.8112,23.81,59,0,4.34,clear sky
152,Labuhan,ID,-6.8844,112.2051,79.11,84,92,6.71,overcast clouds
153,Shingu,JP,33.7333,135.9833,46.49,77,6,5.97,clear sky
154,Prykolotne,UA,50.1604,37.3474,23.85,56,8,11.7,clear sky
155,Saint Anthony,US,45.0205,-93.218,44.55,65,1,5.99,clear sky
156,Katsuura,JP,35.1333,140.3,46.51,68,0,9.66,clear sky
157,Shaghat,AM,39.5625,45.9143,39.9,80,97,1.79,overcast clouds
158,Cookeville,US,36.1628,-85.5016,58.71,31,1,3.0,clear sky
159,Lethem,GY,3.3803,-59.7968,87.46,50,98,8.41,overcast clouds
160,Bratsk,RU,56.1325,101.6142,16.29,95,80,3.87,broken clouds
161,Tateyama,JP,34.9833,139.8667,46.42,63,0,12.44,clear sky
162,Grand Gaube,MU,-20.0064,57.6608,76.37,74,18,3.0,few clouds
163,Jiuquan,CN,39.7432,98.5174,27.07,44,2,2.15,clear sky
164,La Plata,AR,-34.9215,-57.9545,94.03,21,12,5.97,few clouds
165,Pangai,TO,-19.8,-174.35,84.31,65,20,4.61,few clouds
166,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,90,0.0,light snow
167,Port Hedland,AU,-20.3167,118.5667,80.65,24,100,8.05,overcast clouds
168,Polyarnyy,RU,69.1989,33.4478,1.87,77,95,1.14,light snow
169,Luau,AO,-10.7073,22.2247,63.55,97,100,4.56,moderate rain
170,Izmalkovo,RU,52.6887,37.964,28.24,93,99,19.37,light snow
171,Saldanha,ZA,-33.0117,17.9442,63.09,70,0,16.35,clear sky
172,Wadi Musa,JO,30.3222,35.4793,54.27,51,91,2.15,overcast clouds
173,Kodiak,US,57.79,-152.4072,22.51,63,90,14.97,overcast clouds
174,Hirara,JP,24.8,125.2833,70.77,65,95,12.84,overcast clouds
175,Zhanakorgan,KZ,43.9098,67.2495,46.6,49,20,13.98,few clouds
176,Leh,IN,34.1667,77.5833,20.28,81,95,1.39,overcast clouds
177,Chifeng,CN,42.2683,118.9636,24.01,62,4,6.26,clear sky
178,Skibbereen,IE,51.55,-9.2667,37.2,74,7,15.19,clear sky
179,Sertanopolis,BR,-23.0586,-51.0364,91.47,39,70,3.74,broken clouds
180,Malko Tarnovo,BG,41.9833,27.5333,37.38,78,86,6.15,overcast clouds
181,Vrangel,RU,42.7297,133.0839,24.21,58,10,13.04,clear sky
182,Dikson,RU,73.5069,80.5464,5.79,89,100,10.02,overcast clouds
183,Saint-Philippe,RE,-21.3585,55.7679,75.47,80,9,8.75,clear sky
184,Bredasdorp,ZA,-34.5322,20.0403,60.28,68,2,14.38,clear sky
185,Cidreira,BR,-30.1811,-50.2056,68.72,69,0,16.67,clear sky
186,Benjamin Constant,BR,-4.3831,-70.0311,78.93,88,75,2.3,light rain
187,Saint-Prosper,CA,46.2117,-70.4811,28.71,51,0,8.39,clear sky
188,Port Alfred,ZA,-33.5906,26.891,61.84,74,85,10.74,overcast clouds
189,Powell River,CA,49.8496,-124.5361,45.28,93,90,13.8,mist
190,Pisco,PE,-13.7,-76.2167,69.85,73,0,13.8,clear sky
191,Namibe,AO,-15.1961,12.1522,69.94,61,7,9.75,clear sky
192,Chicama,PE,-7.8447,-79.1469,63.14,64,84,10.04,broken clouds
193,Araouane,ML,18.9048,-3.5265,79.72,27,3,8.93,clear sky
194,Terrace Bay,CA,48.7834,-87.1,39.7,77,100,8.66,overcast clouds
195,Mariakani,KE,-3.8633,39.4736,80.69,96,53,3.4,broken clouds
196,Bama,NG,11.5221,13.6856,77.88,23,0,8.14,clear sky
197,Ulverstone,AU,-41.15,146.1667,60.3,67,4,4.94,clear sky
198,Lubango,AO,-14.9172,13.4925,62.06,44,6,3.56,clear sky
199,Bodden Town,KY,19.2833,-81.25,82.4,74,40,11.01,scattered clouds
200,Luderitz,NA,-26.6481,15.1594,61.29,81,0,14.41,clear sky
201,Paamiut,GL,61.994,-49.6678,35.31,98,100,19.77,moderate rain
202,Chumikan,RU,54.7183,135.315,18.36,95,100,8.19,snow
203,Taoudenni,ML,22.6783,-3.9836,82.26,32,100,7.83,overcast clouds
204,Bethanien,NA,-26.502,17.1583,73.69,24,0,8.25,clear sky
205,Kozhevnikovo,RU,56.2589,83.9714,9.12,100,98,4.38,overcast clouds
206,Vestmannaeyjar,IS,63.4427,-20.2734,34.43,65,100,9.37,overcast clouds
207,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,40,10.36,light rain
208,Kieta,PG,-6.2167,155.6333,82.13,70,21,3.53,few clouds
209,Otane,NZ,-39.8833,176.6333,65.39,55,23,5.32,few clouds
210,Maihar,IN,24.2667,80.75,59.83,36,1,1.34,clear sky
211,Faanui,PF,-16.4833,-151.75,80.96,73,7,7.31,clear sky
212,Pangnirtung,CA,66.1451,-65.7125,19.4,73,90,6.91,light snow
213,Iquique,CL,-20.2208,-70.1431,66.24,68,68,6.71,broken clouds
214,Tres Lagoas,BR,-20.7511,-51.6783,88.7,38,100,6.62,overcast clouds
215,Bubaque,GW,11.2833,-15.8333,82.89,77,32,11.05,scattered clouds
216,Newport,GB,51.5877,-2.9984,45.77,89,100,4.38,overcast clouds
217,New Norfolk,AU,-42.7826,147.0587,62.74,52,8,5.01,clear sky
218,Saquarema,BR,-22.92,-42.5103,75.34,85,8,6.85,clear sky
219,Ormara,PK,25.2088,64.6357,77.0,53,3,4.03,clear sky
220,Abapo,BO,-18.8333,-63.4667,80.4,54,100,6.73,overcast clouds
221,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,82,40,11.99,volcanic ash
222,Tucupita,VE,9.0622,-62.051,81.77,76,97,4.79,overcast clouds
223,Brunswick,US,41.2381,-81.8418,48.13,49,75,10.0,broken clouds
224,Mosquera,CO,4.7059,-74.2302,62.69,67,40,4.61,scattered clouds
225,Nisia Floresta,BR,-6.0911,-35.2086,83.21,78,9,11.25,clear sky
226,Portland,US,45.5234,-122.6762,49.77,88,90,1.01,overcast clouds
227,Iberia,US,29.9502,-91.7507,74.05,53,75,11.5,broken clouds
228,Lavrentiya,RU,65.5833,-171.0,-4.88,91,24,8.01,few clouds
229,Kushiro,JP,42.975,144.3747,37.09,67,50,11.59,scattered clouds
230,Keti Bandar,PK,24.1447,67.4497,75.2,79,21,7.99,few clouds
231,Saint George,US,37.1041,-113.5841,61.27,17,1,4.0,clear sky
232,Kandi,BJ,11.1342,2.9386,81.72,25,99,2.84,overcast clouds
233,Ardesen,TR,41.1911,40.9875,48.16,83,100,0.34,overcast clouds
234,Santa Rosa,PH,14.3122,121.1114,80.11,92,100,7.7,overcast clouds
235,Prieska,ZA,-29.6641,22.7474,69.21,29,51,13.04,broken clouds
236,Sandomierz,PL,50.6827,21.749,39.65,82,9,3.0,clear sky
237,Alfenas,BR,-21.4292,-45.9472,74.86,61,100,3.74,overcast clouds
